LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;sk³adniki mineralne;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;witaminy;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe nasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe jednonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;kwasy t³uszczowe wielonienasycone;cholesterol;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;aminokwasy;wêglowodany;wêglowodany;wêglowodany;wêglowodany;% energii z:;% energii z:;% energii z:
LP;Numer kodowy ;Nazwa produktu;odpadki;wartoœæ energetyczna;wartoœæ energetyczna;woda;bia³ko ogó³em;bia³ko zwierzêce;bia³ko roœlinne;t³uszcz;wêglowodany ogó³em;popió³;sód;potas;wapñ;fosfor;magnez;¿elazo;cynk;miedŸ;mangan;ek.retinolu;retinol;beta-karoten;D;E;tiamina;ryboflawina;niacyna; B6;foliany; B12;C;C 4:0;C 6:0;C 8:0;C 10:0;C 12:0;C 14:0;C 15:0;C 16:0;C 17:0;C 18:0;C 20:0;ogó³em;C 14:1;C 15:1;C 16:1;C 17:1;C 18:1;C 20:1;C 22:1;ogó³em;C 18:2;C 18:3;C 18:4;C 20:3;C 20:4;C 20:5;C 22:5;C 22:6;ogó³em;;izoleucyna;leucyna;lizyna;metionina;cystyna;fenylo-alanina;tyrozyna;treonina;tryptofan;walina;arginina;histydyna;alanina;kwas asparaginowy;kwas glutaminowy;glicyna;prolina;seryna;sacharoza;laktoza;skrobia;b³onnik pokarmowy;bia³ka;t³uszczu;wêglo-wodanów
LP;Numer kodowy ;Nazwa produktu;g;KJ;kcal;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mcg;mcg;mcg;mcg;mg;mg;mg;mg;mg;mcg;mcg;mg;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;mg;g;g;g;g;;;
29;1.3.1.010;Napój mleczny kakaowy;0;338;81;81,8;3,3;3,1;0,2;2,1;12,1;0,7;41;153;111;87;16;0,2;0,38;0,07;0,05;23;21;11;0,02;0,07;0,035;0,161;0,12;0,05;4,5;0,35;0,9;0,05;0,04;0,02;0,05;0,06;0,19;0,02;0,52;0,02;0,28;0;1,25;0,03;0,01;0,05;0,02;0,57;0;0;0,68;0,04;0,03;0;0;0;0;0;0;0,07;7;171;287;265;78;33;151;144;138;42;226;111;81;106;243;673;67;305;178;7,2;4,3;0,1;0,1;17;23;60
30;1.3.1.011;Napój mleczny serwatkowo-œmietankowy;0;308;74;84;0,9;0,9;0;2,2;12,4;0,5;40;116;66;40;2;0,1;0,07;0;0,01;21;19;15;0,02;0,04;0,035;0,126;0,09;0,04;1,1;0,18;0;0,06;0,04;0,02;0,06;0,07;0,24;0,02;0,55;0,02;0,24;0;1,32;0,03;0,01;0,06;0,02;0,58;0;0;0,7;0,03;0,03;0;0;0;0;0;0;0,06;8;53;88;75;17;11;36;33;58;14;60;27;20;37;88;167;18;53;44;8;4,5;0;0;5;26;69
31;1.3.1.012;Napój mleczny œmietankowy;0;263;63;84,4;3,5;3,5;0;0,5;10,9;0,7;61;158;116;84;14;0,1;0,51;0,01;0;8;7;3;0;0;0,041;0,176;0,1;0,04;3;0,29;0,1;0,02;0,01;0,01;0,01;0,02;0,05;0,01;0,13;0;0,06;0,01;0,33;0,01;0;0,01;0;0,1;0;0;0,12;0,01;0;0;0;0;0;0;0;0,01;3;203;329;275;81;31;177;135;159;37;241;155;95;124;262;647;73;328;148;6;4,9;0;0;23;7;70
32;1.3.1.013;Serwatka p³ynna;0;104;25;93,4;0,8;0,8;0;0,1;5,1;0,6;45;129;68;40;1;0,1;0,05;0;0,01;4;4;2;0;0;0,04;0,14;0,1;0,04;1;0,1;0;0;0;0;0;0;0,01;0;0,03;0;0,01;0;0,05;0;0;0;0;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;2;50;82;67;13;11;29;27;60;14;53;23;17;36;88;141;17;34;38;0;5,1;0;0;13;4;83
33;1.4.1.001;Ser, Brie pe³not³usty;0;1376;329;49,3;19,8;19,8;0;28;0,2;2,7;880;100;600;380;20;0,2;2,28;0,04;0,04;285;265;122;0,2;0,6;0,05;0,34;0,4;0,24;60;1,7;0;1,07;0,61;0,3;0,69;0,89;2,75;0,25;7,81;0,23;3,06;0,23;17,89;0,31;0,16;0,57;0,25;5,8;0;0;7,09;0,31;0,34;0;0;0;0;0;0;0,65;72;902;1713;1638;527;101;1028;1061;669;284;1187;651;635;760;1195;3888;342;2181;1036;0;0,1;0;0;24;76;0
34;1.4.1.002;Ser, Camembert pe³not³usty;0;1218;291;52,1;21,4;21,4;0;23;0,2;3,3;966;101;386;310;22;0,5;2,84;0,07;0,04;232;215;99;0,18;0,5;0,046;0,458;1,42;0,16;62;1,1;0;0,7;0,43;0,25;0,6;0,75;2,44;0,24;5,64;0,22;2,44;0;13,71;0,3;0,15;0,59;0,24;6,04;0;0;7,32;0,3;0,32;0;0;0;0;0;0;0,62;73;958;1746;1576;502;118;1064;1165;794;309;1361;679;574;618;1422;4739;395;2199;1179;0;0,1;0;0;30;70;0
35;1.4.1.003;Ser, Cheddar pe³not³usty;0;1635;391;37,7;27,1;27,1;0;31,7;0,1;3,4;598;81;703;487;54;0,5;4,05;0,04;0,02;382;334;286;0,26;0,5;0,04;0,597;0,02;0,02;18;1,1;0;0,96;0,59;0,36;0,84;1,05;3,35;0,32;7,79;0,3;3,35;0;18,91;0,42;0,2;0,81;0,32;8,33;0;0;10,08;0,42;0,45;0;0;0;0;0;0;0,87;90;1212;2211;2005;635;150;1348;1475;1004;393;1723;860;727;782;1801;5999;499;2782;1492;0;0,1;0;0;28;72;0
36;1.4.1.004;Ser, Edamski t³usty;8;1206;288;42,3;24;24;0;21,5;0,1;4;569;75;798;481;25;0,6;2,02;0,03;0,02;247;216;185;0,17;0,35;0,025;0,322;0,09;0,03;18,4;1,93;0;0,65;0,41;0,24;0,57;0,72;2,28;0,22;5,29;0,2;2,28;0;12,87;0,29;0,15;0,54;0,22;5,66;0;0;6,85;0,29;0,3;0;0;0;0;0;0;0,59;65;1075;1960;1768;563;132;1195;1307;891;349;1528;763;644;694;1597;5317;443;2466;1322;0;0,1;0;0;34;66;0
37;1.4.1.005;Ser, Ementaler pe³not³usty;6;1495;357;34,7;27,1;27,1;0;27,9;0,1;4,2;854;112;785;391;37;0,5;4,14;0,04;0,02;279;244;210;0,23;0,38;0,024;0,352;0,08;0,05;18,8;2,07;0;0,85;0,53;0,31;0,73;0,92;2,96;0,29;6,86;0,26;2,96;0;16,68;0,38;0,18;0,7;0,29;7,33;0;0;8,88;0,38;0,39;0;0;0;0;0;0;0,77;78;1212;2209;1993;634;150;1347;1474;1004;393;1722;859;727;781;1800;5994;499;2781;1491;0;0,1;0;0;31;69;0
38;1.4.1.006;Ser, Gouda t³usty;9;1204;288;40,9;25,4;25,4;0;20,8;0,1;3,8;817;76;734;470;28;0,6;3,8;0,06;0,03;251;219;188;0,22;0,35;0,024;0,357;0,06;0,02;18,2;1,55;0;0,64;0,4;0,24;0,55;0,69;2,2;0,22;5,12;0,2;2,2;0;12,46;0,27;0,15;0,53;0,22;5,48;0;0;6,64;0,27;0,29;0;0;0;0;0;0;0,56;65;1137;2072;1869;595;140;1263;1382;941;368;1615;805;682;733;1688;5623;469;2608;1398;0;0,1;0;0;36;64;0
39;1.4.1.007;Ser, Myœliwski pe³not³usty;12;1275;305;37,8;22,4;22,4;0;24,1;0,1;3,5;593;72;697;435;24;0,4;3,16;0,05;0,04;187;164;142;0,22;0,39;0,011;0,327;0,05;0,04;17,6;1,94;0;0,72;0,45;0,27;0,64;0,8;2,55;0,26;5,92;0,23;2,55;0;14,4;0,38;0,16;0,61;0,26;6,34;0;0;7,74;0,38;0,33;0;0;0;0;0;0;0,71;73;984;1794;1619;514;121;1094;1197;814;319;1399;697;590;635;1462;4867;405;2257;1671;0;0,1;0;0;30;70;0
40;1.4.1.008;Ser, Myœliwski t³usty;12;1246;298;36,4;25,5;25,5;0;21,9;0,1;4;676;82;795;495;27;0,4;3,25;0,05;0,04;167;146;126;0,17;0,34;0,012;0,373;0,06;0,04;17,6;1,94;0;0,64;0,4;0,24;0,55;0,7;2,24;0,25;5,87;0,22;2,53;0;13,65;0,32;0,15;0,61;0,25;6,28;0;0;7,6;0,32;0,33;0;0;0;0;0;0;0,65;63;1185;1191;1950;620;146;1318;1442;982;384;1686;841;713;765;1761;5868;487;2720;1460;0;0,1;0;0;35;65;0
41;1.4.1.009;Ser, Parmezan;0;1891;452;19,4;41,5;41,5;0;32;0,1;7;1860;107;1380;810;51;1;3,2;0,2;0,04;253;235;107;0,24;0,7;0,04;0,39;0,3;0,1;7;1,6;0;1,27;0,72;0,36;0,82;1,05;3,26;0;9,26;0;3,63;0,28;20,65;0;0;0,66;0;6,87;0,12;0;7,65;0,72;0,15;0;0;0;0;0;0;0,87;79;2010;3675;3493;1010;246;2010;2128;1420;519;2602;1420;1482;1128;2365;8706;655;4440;2192;0;0,1;0;0;37;63;0
42;1.4.1.010;Ser, Rokpol pe³not³usty;0;1518;363;41,3;22,6;22,6;0;30,6;0,1;5,4;1368;109;530;322;20;0,5;2,54;0,05;0,02;521;456;391;0,7;0,5;0,029;0,4;0,57;0,15;37;1;0;0,93;0,57;0,34;0,81;1,01;3,24;0,31;7,52;0,29;3,24;0;18,26;0,41;0,2;0,78;0,31;8,04;0;0;9,74;0,41;0,44;0;0;0;0;0;0;0,85;99;1007;1838;1658;528;126;1120;1316;834;326;1431;714;605;649;1496;4985;415;2313;1240;0;0,1;0;0;25;75;0
43;1.4.1.011;Ser, Salami pe³not³usty;9;1338;320;39,1;22,9;22,9;0;25,6;0,1;3,3;532;81;743;456;25;0,4;3,27;0,05;0,04;263;230;196;0,23;0,4;0,024;0,268;0,04;0,03;18,2;2;0;0,76;0,48;0,29;0,68;0,85;2,7;0,27;6,28;0,24;2,7;0;15,26;0,34;0,17;0,65;0,27;6,72;0;0;8,15;0,34;0,35;0;0;0;0;0;0;0,69;75;1026;1873;1689;537;126;1141;1249;850;334;1459;727;617;662;1524;5079;420;2355;1263;0;0,1;0;0;29;71;0
44;1.4.1.012;Ser, Trapistów pe³not³usty;10;1383;331;36,9;21,2;21,2;0;27,6;0,1;4,2;650;77;849;520;30;0,5;3,11;0,03;0,05;256;224;193;0,55;0,4;0,023;0,365;0,04;0,04;18;1,8;0;0,84;0,53;0,32;0,73;0,92;2,93;0,29;6,79;0,26;2,93;0;16,52;0,36;0,19;0,7;0,29;7,25;0;0;8,79;0,36;0,39;0;0;0;0;0;0;0,75;75;947;1727;1558;494;117;1052;1151;784;307;1345;671;569;611;1405;4684;388;2173;1166;0;0,1;0;0;26;74;0
45;1.4.1.013;Ser, Trapistów t³usty;10;1322;316;36,5;25,2;25,2;0;24,1;0,1;4;702;84;875;536;31;0,5;3,37;0,03;0,05;222;194;166;0,49;0,34;0,022;0,354;0,04;0,03;18;1,8;0;0,73;0,46;0,27;0,64;0,8;2,56;0,24;5,92;0,23;2,56;0;14,4;0,32;0,16;0,61;0,24;6,34;0;0;7,68;0,32;0,34;0;0;0;0;0;0;0,67;67;1128;2058;1855;590;140;1254;1372;934;366;1604;800;678;728;1676;5580;463;2588;1389;0;0,1;0;0;32;68;0
46;1.4.1.014;Ser, Tyl¿ycki pe³not³usty;8;1360;325;38,2;24;24;0;25,7;0,1;4;684;77;750;469;26;0,6;3,39;0,03;0,05;322;282;241;0,54;0,41;0,02;0,331;0,06;0,03;27,6;1,84;0;0,78;0,48;0,29;0,68;0,85;2,71;0,27;6,31;0,25;2,71;0;15,33;0,33;0,17;0,65;0,27;6,74;0;0;8,16;0,33;0,37;0;0;0;0;0;0;0,7;77;1075;1961;1768;561;132;1194;1307;891;349;1528;761;646;695;1596;5317;442;2467;1324;0;0,1;0;0;30;70;0
47;1.4.1.015;Ser, Tyl¿ycki t³usty;8;1287;308;39,1;25,6;25,6;0;23;0,1;4,2;792;99;536;506;26;0,6;3,6;0,03;0,03;239;209;179;0,47;0,36;0,023;0,386;0,06;0,05;27,6;1,84;0;0,7;0,43;0,26;0,61;0,76;2,43;0,24;5,65;0,22;2,43;0;13,73;0,3;0,15;0,59;0,24;6,04;0;0;7,31;0,3;0,33;0;0;0;0;0;0;0,63;68;1144;2087;1883;600;142;1272;1393;948;371;1627;811;686;738;1701;5664;471;2628;1409;0;0,1;0;0;34;66;0
48;1.4.2.001;Deser twarogowy termizowany kakaowy;0;654;156;68;13,9;13,7;0,2;6,2;11,2;0,7;35;108;77;175;11;0,2;0,75;0,05;0,04;50;44;37;0,05;0,11;0,019;0,339;0,16;0,07;18,2;0,64;0;0,19;0,11;0,06;0,16;0,2;0,65;0,06;1,51;0,05;0,71;0;3,7;0,09;0,05;0,15;0,06;1,65;0;0;2;0,1;0,1;0;0;0;0;0;0;0,2;22;683;1175;919;336;88;635;697;630;190;907;444;352;415;931;3038;253;1368;839;7,8;2,6;0,1;0,1;36;35;29
49;1.4.2.002;Deser twarogowy termizowany truskawkowy;0;711;170;64,4;11;10,9;0,1;5,8;18,3;0,5;29;86;66;138;7;0,2;0,63;0,02;0,02;48;42;39;0,04;0,11;0,017;0,272;0,14;0,06;14,3;0,51;1,2;0,19;0,1;0,06;0,15;0,19;0,62;0,05;1,41;0,05;0,62;0;3,44;0,09;0,04;0,15;0,05;1,53;0;0;1,86;0,1;0,1;0;0;0;0;0;0;0,2;21;540;931;730;266;68;501;552;496;151;716;347;279;327;743;2406;197;1086;663;15,6;2,2;0;0,1;26;30;44
50;1.4.2.003;Ser twarogowy chudy;0;415;99;75,3;19,8;19,8;0;0,5;3,5;0,9;41;96;96;240;9;0,2;1,12;0,02;0,02;5;4;3;0,04;0,01;0,03;0,495;0,1;0,09;27;0,9;0;0,02;0,01;0;0,01;0,02;0,05;0;0,12;0;0,05;0;0,28;0,01;0;0,01;0;0,14;0;0;0,16;0,01;0,01;0;0;0;0;0;0;0,02;2;955;1679;1309;482;121;905;999;898;272;1291;624;503;586;1316;4345;353;1963;1199;0;3,1;0;0;81;5;14
51;1.4.2.004;Ser twarogowy pó³t³usty;0;555;133;72,1;18,7;18,7;0;4,7;3,7;0,8;44;113;94;227;9;0,2;0,92;0,02;0,02;39;34;29;0,09;0,08;0,022;0,45;0,18;0,09;27;0,8;0;0,16;0,08;0,04;0,12;0,16;0,51;0,04;1,13;0,04;0,51;0;2,79;0,08;0,04;0,12;0,04;1,25;0;0;1,53;0,08;0,08;0;0;0;0;0;0;0,16;17;919;1584;1235;454;114;854;943;848;257;1218;589;475;553;1242;4099;333;1852;1132;0;3,2;0;0;58;31;11
52;1.4.2.005;Ser twarogowy t³usty;0;734;175;67,9;17,7;17,7;0;10,1;3,5;0,8;40;104;88;216;9;0,2;0,95;0,03;0,02;83;73;62;0,19;0,17;0,031;0,358;0,15;0,1;27;0,7;0;0,34;0,17;0,08;0,25;0,34;1,09;0,08;2,44;0,08;1,09;0;5,96;0,17;0,08;0,25;0,08;2,69;0;0;3,27;0,17;0,17;0;0;0;0;0;0;0,34;37;869;1499;1169;430;108;808;892;802;243;1153;557;449;523;1176;3880;316;1753;1071;0;2,9;0;0;41;51;8
53;1.4.2.006;"Ser typu ""Feta""";0;898;215;60,8;17;17;0;16;1;5,2;1100;62;500;360;19;0,3;2;0,08;0,04;135;125;60;0,5;0,4;0,04;0,3;0,1;0,06;23;1,1;0;0,64;0,36;0,18;0,41;0,53;1,63;0;4,63;0;1,81;0,14;10,33;0;0;0,33;0;3,43;0,06;0;3,82;0,36;0,08;0;0;0;0;0;0;0,44;89;905;1467;1372;457;81;838;886;629;219;1114;610;457;533;1267;3221;333;1676;933;0;1;0;0;32;66;2
54;1.4.2.007;Serek termizowany pieczarkowy;0;473;113;74,9;15,9;15,5;0,4;4;3,5;1,7;387;136;80;213;12;0,3;0,83;0,08;0,03;33;28;26;0,34;0,08;0,022;0,461;0,86;0,08;24,1;0,63;0,7;0,13;0,07;0,03;0,1;0,13;0,42;0,03;0,94;0,03;0,43;0;2,31;0,07;0,03;0,1;0,03;1,04;0;0;1,27;0,1;0,07;0;0;0;0;0;0;0,17;14;778;1348;1068;387;112;724;797;718;217;1022;507;415;479;1069;3456;292;1555;955;0;2,7;0;0,3;57;31;12
55;1.4.2.008;Serek twarogowy homogenizowany  pe³not³usty;0;674;161;72,6;12,7;12,7;0;11;3;0,7;47;117;98;140;9;0,2;0,45;0,02;0,01;39;34;30;0,19;0,19;0,033;0,249;0,13;0,03;22;0,7;0;0,33;0,21;0,12;0,29;0,36;1,16;0,11;2,7;0,1;1,16;0;6,54;0,15;0,07;0,28;0,11;2,89;0;0;3,5;0,15;0,16;0;0;0;0;0;0;0,31;37;624;1076;838;308;77;580;640;576;175;827;400;323;376;844;2784;225;1258;770;0;2;0;0;32;60;8
56;1.4.2.009;Serek twarogowy homogenizowany truskawkowy;0;704;168;62,4;15,3;15,2;0,1;3,9;17,7;0,7;36;99;79;186;8;0,2;0,8;0,02;0,02;32;28;25;0,07;0,07;0,019;0,368;0,16;0,08;19,8;0,62;0,7;0,13;0,07;0,03;0,1;0,13;0,42;0,03;0,92;0,03;0,42;0;2,28;0,07;0,03;0,1;0,03;1,02;0;0;1,25;0,07;0,07;0;0;0;0;0;0;0,14;14;751;1295;1010;371;93;698;771;693;210;996;483;389;453;1023;3352;273;1513;926;14,6;2,6;0;0,1;37;21;42
57;1.4.2.010;Serek twarogowy homogenizowany waniliowy;0;667;159;65;16,8;16,8;0;4,2;13,3;0,7;40;102;85;204;8;0,2;0,83;0,02;0,02;35;31;26;0,08;0,07;0,02;0,405;0,16;0,08;21,8;0,68;0;0,14;0,07;0,04;0,11;0,14;0,46;0,04;1,02;0,04;0,46;0;2,52;0,07;0,04;0,11;0,04;1,12;0;0;1,38;0,07;0,07;0;0;0;0;0;0;0,14;15;825;1423;1109;408;102;767;847;761;231;1094;530;427;497;1116;3682;299;1664;1017;10;2,9;0;0;43;23;34
58;1.4.2.011;Serek twarogowy ziarnisty;0;424;101;79,2;12,3;12,3;0;4,3;3,3;0,9;380;80;80;140;8;0,1;0,5;0,02;0,01;22;20;14;0,09;0,07;0,029;0,25;0,11;0,06;15;0,7;0;0,16;0,09;0,05;0,1;0,13;0,41;0;1,16;0;0,45;0,03;2,58;0;0;0,08;0;0,86;0,02;0;0,96;0,09;0,02;0;0;0;0;0;0;0,11;15;637;1139;897;332;103;592;592;484;121;672;502;368;574;744;2384;242;1300;619;0;3,3;0;0;49;38;13
59;1.4.2.012;"Serek typu ""Fromage"" naturalny";0;1587;379;48,8;10,2;10,2;0;37,1;2,4;1,5;396;66;55;123;8;0,2;0,51;0,02;0,01;362;333;174;0,37;1,14;0,017;0,25;0,11;0,05;13,9;0,39;0;0,17;0,21;0,21;0,7;1,07;4,58;0,52;13,67;0,31;3,57;0,03;25,17;0,37;0,13;0,86;0,1;7,97;0;0;9,44;0,5;0,14;0;0;0;0;0;0;0,65;113;502;866;681;248;64;465;510;460;140;665;321;259;303;679;2227;182;1008;622;0;2,1;0;0;11;86;3
60;1.4.2.013;"Serek typu ""Fromage"" z czosnkiem";0;1537;367;49,3;10;9,7;0,3;35,2;4;1,5;379;83;54;125;9;0,2;0,54;0,03;0,04;343;316;165;0,35;1,08;0,027;0,242;0,14;0,06;13,4;0,37;0,8;0,16;0,2;0,2;0,67;1,01;4,35;0,49;12,97;0,29;3,39;0,03;23,88;0,35;0,13;0,81;0,1;7,56;0;0;8,96;0,49;0,14;0;0;0;0;0;0;0,63;107;493;844;667;241;65;455;490;448;137;653;353;254;297;682;2170;187;962;604;0;2;0,8;0,2;11;85;4
61;1.4.2.014;Deser ry¿owy jab³kowy;0;560;134;69,7;2,8;2,3;0,5;3;23,9;0,6;54;124;86;83;8;0,1;0,47;0,02;0,05;32;29;18;0,03;0,13;0,032;0,1;0,18;0,06;4,8;0,3;1,2;0,01;0,01;0,01;0,05;0,07;0,33;0,04;1,14;0,02;0,34;0;2,03;0,02;0,01;0,07;0,01;0,81;0;0;0,91;0,06;0;0;0;0;0;0;0;0,07;7;154;239;238;72;30;131;115;105;35;186;111;73;102;214;544;66;236;149;13,5;2,7;7,4;0,3;8;20;72
62;1.4.2.015;Deser ry¿owy waniliowy;0;556;133;69,8;3;2,5;0,5;2,9;23,5;0,6;52;120;84;79;7;0,1;0,43;0,02;0,05;32;29;18;0,02;0,12;0,035;0,082;0,17;0,06;4,7;0,3;0,8;0,01;0,01;0,01;0,05;0,07;0,32;0,04;1,09;0,02;0,33;0;1,96;0,02;0,01;0,07;0;0,8;0;0;0,9;0,06;0;0;0;0;0;0;0;0,07;9;165;256;255;76;32;141;125;113;37;199;120;78;108;227;584;71;253;159;12,4;2,7;7,4;0,2;9;19;72
63;1.4.3.001;Ser topiony, edamski;0;1249;298;55;13,5;13,5;0;27;1,2;3,3;841;41;367;578;16;0,6;2,01;0,02;0,05;174;161;75;0,21;0,46;0,016;0,23;0,04;0,03;7;0,9;0;0,82;0,51;0,31;0,71;0,89;2,86;0,28;6,63;0,26;2,86;0;16,13;0,36;0,18;0,69;0,28;7,09;0;0;8,6;0,36;0,38;0;0;0;0;0;0;0,74;87;604;1103;994;316;74;672;735;501;196;859;428;363;390;898;2990;248;1386;744;0;1;0;0;18;80;2
64;1.5.1.001;Lody mleczno-owocowe;0;484;116;73,2;3,9;3,8;0,1;2,5;19,4;1;57;192;155;113;17;0,2;0,42;0,04;0,01;21;18;20;0,05;0,05;0,04;0,203;0,17;0,07;8;0,2;3;0,08;0,05;0,03;0,07;0,08;0,26;0,03;0,61;0,02;0,26;0;1,49;0,03;0,02;0,06;0,03;0,66;0;0;0,8;0,03;0,04;0;0;0;0;0;0;0,07;8;204;346;321;97;34;178;171;161;50;265;120;98;120;278;803;72;372;210;14,5;4,3;0;0,3;14;19;67
65;1.5.1.002;Lody œmietankowe;0;668;160;70;3,2;3,2;0;8,5;17,6;0,7;47;148;125;90;13;0,1;0,34;0,02;0;71;62;53;0,1;0,14;0,038;0,159;0,11;0,05;6;0,4;0;0,26;0,16;0,1;0,22;0,28;0,9;0,09;2,09;0,08;0,9;0;5,08;0,11;0,06;0,22;0,09;2,23;0;0;2,71;0,11;0,12;0;0;0;0;0;0;0,23;34;168;284;264;79;29;146;140;132;41;218;99;80;99;228;659;59;306;171;13;4,4;0;0;8;47;45
66;2.1.1.001;Jaja kurze ca³e;13;506;121;66,3;10,9;10,9;0;8,4;0,5;0,9;123;116;41;177;10;1,9;1,53;0,05;0,03;237;235;11;1,48;0,64;0,056;0,472;0,05;0,09;56,5;1,39;0;0;0;0;0;0;0,02;0;2,31;0;0,28;0;2,61;0;0;0,17;0;3,58;0;0;3,78;0,61;0,01;0;0;0,02;0;0;0,07;0,64;313;640;927;684;367;240;604;441;513;162;753;668;249;639;931;1434;374;419;827;0;0;0;0;36;62;2
67;2.1.1.002;Bia³ko jaja kurzego;0;205;49;87,4;10,9;10,9;0;0,2;0,7;0,8;200;154;6;17;11;0,2;0,3;0,03;0,01;0;0;0;0;0;0,006;0,429;0,07;0,01;20;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;643;917;649;410;261;663;424;469;161;790;616;239;680;937;1471;395;397;778;0;0;0;0;90;4;6
68;2.1.1.003;¯ó³tko jaja kurzego;0;1312;314;54,5;15,5;15,5;0;28,2;0,3;1,5;52;127;147;587;15;7,2;3,55;0,14;0,05;886;881;29;4,5;2,15;0,173;0,81;0,03;0,28;152;4,7;0;0;0;0;0;0;0,05;0;7,7;0,01;0,95;0;8,7;0;0;0,62;0;11,97;0;0;12,6;2,03;0,02;0;0;0,06;0;0;0;2,11;1062;912;1355;1078;404;283;692;685;862;232;971;1104;382;798;1329;1948;480;662;1320;0;0;0;0;20;80;0
69;2.1.1.005;Proszek jajeczny;0;2412;576;3,5;48,4;48,4;0;41,7;2,7;3,7;481;527;185;790;45;8,3;6,86;0,21;0,1;800;800;0;6,75;1,99;0,323;1,2;0,2;0,38;184;7,2;0;0;0;0;0;0;0,1;0;7,96;0,07;1,94;0;10,07;0,04;0;1,73;0,04;15,54;0,1;0,17;17,62;4,64;0,14;0;0;0,28;0;0;0,42;5,48;1900;2853;4130;3043;1636;1070;2685;1965;2287;719;3353;2974;1109;2845;4140;6377;1667;1867;3679;0;0;0;0;34;64;2
70;3.1.1.001;Baranina, ³opatka;15;1012;242;49,8;13,3;13,3;0;21,2;0;0,7;56;212;8;132;20;2;2,52;0,09;0,02;45;45;0;0,26;0,51;0,119;0,162;3,82;0,14;2,5;0,85;0;0;0;0,1;0;0;1,07;0,12;4,79;0,2;4,13;0,02;10,42;0,14;0;0,26;0,2;7,55;0;0;8,13;0,49;0,49;0;0;0,04;0;0;0;1,03;66;678;1048;1111;333;174;544;450;639;172;688;936;372;899;1195;2008;805;636;570;0;0;0;0;22;78;0
71;3.1.1.002;Baranina, udziec;16;816;195;53;15,1;15,1;0;15,1;0;0,8;66;319;8;179;19;2,3;2,69;0,05;0,03;45;45;0;0,59;0,28;0,134;0,185;4,37;0,13;3,4;0,84;0;0;0;0,07;0;0;0,76;0,08;3,4;0,14;2,94;0,02;7,41;0,1;0;0,18;0,14;5,37;0;0;5,8;0,35;0,35;0;0;0,03;0;0;0;0,73;66;773;1195;1267;381;198;621;512;727;196;785;1068;425;1026;1362;2289;919;725;650;0;0;0;0;31;69;0
72;3.1.2.001;Cielêcina, ³opatka;23;340;81;58,7;15,3;15,3;0;2,2;0;0,8;67;304;8;153;12;2,2;1,59;0,19;0,02;23;23;0;0,23;0,26;0,108;0,308;4,7;0,11;3,9;1;0;0;0;0;0;0,01;0,07;0;0,45;0;0,25;0;0,77;0;0;0,1;0;0,81;0,01;0;0,92;0,12;0,02;0;0;0,03;0,01;0,01;0,01;0,18;55;805;1260;1314;403;134;644;564;671;169;832;1046;537;966;1475;2252;859;725;671;0;0;0;0;77;23;0
